TaxiPassangerPredictionExperiment637841913965848613.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
Cycle: 28 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 17
Cycle: 29 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 18
Cycle: 30 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 19
Cycle: 31 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 20
Cycle: 32 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 21
Cycle: 33 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 22
Cycle: 34 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 23
Cycle: 35 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 24
Cycle: 36 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 25
Cycle: 37 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 26
Cycle: 38 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 27
Cycle: 39 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 28
Cycle: 40 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 29
Cycle: 41 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 30
Cycle: 42 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 31
Cycle: 43 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 32
Cycle: 44 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 33
Cycle: 45 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 34
Cycle: 46 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 35
Cycle: 47 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 36
Cycle: 48 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 37
Cycle: 49 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 38
Cycle: 50 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 39
Cycle: 51 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 40
Cycle: 52 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 41
Cycle: 53 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 42
Cycle: 54 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 43
Cycle: 55 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 44
Cycle: 56 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 45
Cycle: 57 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 46
Cycle: 58 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 47
Cycle: 59 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 48
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :4.166666666666666 	 
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 12
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 13
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 14
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 15
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 16
Cycle: 23 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 17
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 18
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 19
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 20
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 21
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 22
Cycle: 29 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 23
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 24
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 25
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 26
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 27
Cycle: 34 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 28
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 29
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 30
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 31
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 32
Cycle: 39 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 33
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 34
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 35
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 36
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 37
Cycle: 44 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 38
Cycle: 45 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 39
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 40
Cycle: 47 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 41
Cycle: 48 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 42
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 43
Cycle: 50 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 44
Cycle: 51 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 45
Cycle: 52 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 46
Cycle: 53 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 47
Cycle: 54 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 48
Cycle: 55 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 49
Cycle: 56 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 50
Cycle: 57 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 51
Cycle: 58 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 52
Cycle: 59 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 53
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
cycle : 28 	 Accuracy :0 	 
cycle : 29 	 Accuracy :0 	 
cycle : 30 	 Accuracy :0 	 
cycle : 31 	 Accuracy :0 	 
cycle : 32 	 Accuracy :0 	 
cycle : 33 	 Accuracy :0 	 
cycle : 34 	 Accuracy :0 	 
cycle : 35 	 Accuracy :0 	 
cycle : 36 	 Accuracy :0 	 
cycle : 37 	 Accuracy :0 	 
cycle : 38 	 Accuracy :0 	 
cycle : 39 	 Accuracy :0 	 
cycle : 40 	 Accuracy :0 	 
cycle : 41 	 Accuracy :0 	 
cycle : 42 	 Accuracy :0 	 
cycle : 43 	 Accuracy :0 	 
cycle : 44 	 Accuracy :0 	 
cycle : 45 	 Accuracy :0 	 
cycle : 46 	 Accuracy :0 	 
cycle : 47 	 Accuracy :0 	 
cycle : 48 	 Accuracy :0 	 
cycle : 49 	 Accuracy :0 	 
cycle : 50 	 Accuracy :0 	 
cycle : 51 	 Accuracy :0 	 
cycle : 52 	 Accuracy :0 	 
cycle : 53 	 Accuracy :0 	 
cycle : 54 	 Accuracy :0 	 
cycle : 55 	 Accuracy :0 	 
cycle : 56 	 Accuracy :0 	 
cycle : 57 	 Accuracy :0 	 
cycle : 58 	 Accuracy :0 	 
cycle : 59 	 Accuracy :0 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
cycle : 7 	 Accuracy :8.333333333333332 	 
Cycle: 8 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 10 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 11 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 12 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 13 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 14 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
Cycle: 15 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 8
cycle : 16 	 Accuracy :4.166666666666666 	 
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
cycle : 22 	 Accuracy :8.333333333333332 	 
Cycle: 23 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 24 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 25 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 26 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 27 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 28 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 29 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
Cycle: 30 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 8
Cycle: 31 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 9
Cycle: 32 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 10
Cycle: 33 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 11
Cycle: 34 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 12
Cycle: 35 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 13
Cycle: 36 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 14
Cycle: 37 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 15
Cycle: 38 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 16
Cycle: 39 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 17
cycle : 40 	 Accuracy :4.166666666666666 	 
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
cycle : 44 	 Accuracy :8.333333333333332 	 
Cycle: 45 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
Cycle: 46 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 2
Cycle: 47 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 3
Cycle: 48 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 4
Cycle: 49 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 5
Cycle: 50 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 6
Cycle: 51 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 7
Cycle: 52 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 8
Cycle: 53 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 9
Cycle: 54 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 10
Cycle: 55 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 11
Cycle: 56 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 12
Cycle: 57 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 13
Cycle: 58 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 14
Cycle: 59 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 15
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :0 	 
cycle : 8 	 Accuracy :0 	 
cycle : 9 	 Accuracy :0 	 
cycle : 10 	 Accuracy :0 	 
cycle : 11 	 Accuracy :0 	 
cycle : 12 	 Accuracy :0 	 
cycle : 13 	 Accuracy :0 	 
cycle : 14 	 Accuracy :0 	 
cycle : 15 	 Accuracy :0 	 
cycle : 16 	 Accuracy :0 	 
cycle : 17 	 Accuracy :0 	 
cycle : 18 	 Accuracy :0 	 
cycle : 19 	 Accuracy :0 	 
cycle : 20 	 Accuracy :0 	 
cycle : 21 	 Accuracy :0 	 
cycle : 22 	 Accuracy :0 	 
cycle : 23 	 Accuracy :0 	 
cycle : 24 	 Accuracy :0 	 
cycle : 25 	 Accuracy :0 	 
cycle : 26 	 Accuracy :0 	 
cycle : 27 	 Accuracy :0 	 
